,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
61,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Single-charge cases,Percentage guilty,v61311600,8.9.3.5.3.4,1.0
62,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60350178,8.9.3.5.4.3,9.0
63,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311601,8.9.3.5.4.4,0.39
64,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60350180,8.9.3.5.4.6,14.0
65,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Related charges,Guilty,v60350184,8.9.3.5.5.3,8.0
66,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61311602,8.9.3.5.5.4,0.15
67,2019,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60350186,8.9.3.5.5.6,44.0
68,2019,Manitoba,2016A000246,Other sexual offences,Other ages,Sex unknown,Multiple-charge cases,Guilty,v60350358,8.9.4.5.4.3,1.0
69,2019,Manitoba,2016A000246,Other sexual offences,Other ages,Sex unknown,Multiple-charge cases,Percentage guilty,v61311621,8.9.4.5.4.4,1.0
70,2019,Manitoba,2016A000246,Other sexual offences,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60350366,8.9.4.5.5.6,7.0
71,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60351012,8.10.2.5.3.3,5.0
72,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61311690,8.10.2.5.3.4,0.28
73,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60351014,8.10.2.5.3.6,13.0
74,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60351018,8.10.2.5.4.3,46.0
75,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311691,8.10.2.5.4.4,0.68
76,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60351020,8.10.2.5.4.6,22.0
77,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Related charges,Guilty,v60351024,8.10.2.5.5.3,40.0
78,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Related charges,Percentage guilty,v61311692,8.10.2.5.5.4,0.22
79,2019,Manitoba,2016A000246,Major assault,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60351026,8.10.2.5.5.6,146.0
80,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Single-charge cases,Guilty,v60351192,8.10.3.5.3.3,9.0
81,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Single-charge cases,Percentage guilty,v61311710,8.10.3.5.3.4,0.39
82,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60351194,8.10.3.5.3.6,14.0
83,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60351198,8.10.3.5.4.3,59.0
84,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311711,8.10.3.5.4.4,0.63
85,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Multiple-charge cases,Acquitted,v60351199,8.10.3.5.4.5,1.0
86,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60351200,8.10.3.5.4.6,34.0
87,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Related charges,Guilty,v60351204,8.10.3.5.5.3,49.0
88,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61311712,8.10.3.5.5.4,0.24
89,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Related charges,Acquitted,v60351205,8.10.3.5.5.5,4.0
90,2019,Manitoba,2016A000246,Major assault,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60351206,8.10.3.5.5.6,153.0
91,2019,Manitoba,2016A000246,Major assault,Other ages,Sex unknown,Multiple-charge cases,Guilty,v60351378,8.10.4.5.4.3,1.0
92,2019,Manitoba,2016A000246,Major assault,Other ages,Sex unknown,Multiple-charge cases,Percentage guilty,v61311731,8.10.4.5.4.4,0.5
93,2019,Manitoba,2016A000246,Major assault,Other ages,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60351380,8.10.4.5.4.6,1.0
94,2019,Manitoba,2016A000246,Major assault,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60351386,8.10.4.5.5.6,5.0
95,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60352032,8.11.2.5.3.3,7.0
96,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61311800,8.11.2.5.3.4,0.23
97,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60352034,8.11.2.5.3.6,24.0
98,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60352038,8.11.2.5.4.3,25.0
99,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311801,8.11.2.5.4.4,0.64
100,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60352040,8.11.2.5.4.6,14.0
101,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Related charges,Guilty,v60352044,8.11.2.5.5.3,96.0
102,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Related charges,Percentage guilty,v61311802,8.11.2.5.5.4,0.48
103,2019,Manitoba,2016A000246,Common assault,12 to 15 years,Sex unknown,Related charges,Stayed or withdrawn,v60352046,8.11.2.5.5.6,104.0
104,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Single-charge cases,Guilty,v60352212,8.11.3.5.3.3,19.0
105,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Single-charge cases,Percentage guilty,v61311820,8.11.3.5.3.4,0.37
106,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60352214,8.11.3.5.3.6,32.0
107,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Multiple-charge cases,Guilty,v60352218,8.11.3.5.4.3,18.0
108,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311821,8.11.3.5.4.4,0.56
109,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60352220,8.11.3.5.4.6,14.0
110,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Related charges,Guilty,v60352224,8.11.3.5.5.3,47.0
111,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Related charges,Percentage guilty,v61311822,8.11.3.5.5.4,0.29
112,2019,Manitoba,2016A000246,Common assault,16 and 17 years,Sex unknown,Related charges,Stayed or withdrawn,v60352226,8.11.3.5.5.6,113.0
113,2019,Manitoba,2016A000246,Common assault,Other ages,Sex unknown,Multiple-charge cases,Guilty,v60352398,8.11.4.5.4.3,1.0
114,2019,Manitoba,2016A000246,Common assault,Other ages,Sex unknown,Multiple-charge cases,Percentage guilty,v61311841,8.11.4.5.4.4,1.0
115,2019,Manitoba,2016A000246,Common assault,Other ages,Sex unknown,Related charges,Stayed or withdrawn,v60352406,8.11.4.5.5.6,1.0
116,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Single-charge cases,Guilty,v60353052,8.12.2.5.3.3,4.0
117,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Single-charge cases,Percentage guilty,v61311910,8.12.2.5.3.4,0.36
118,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Single-charge cases,Stayed or withdrawn,v60353054,8.12.2.5.3.6,7.0
119,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Multiple-charge cases,Guilty,v60353058,8.12.2.5.4.3,11.0
120,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Multiple-charge cases,Percentage guilty,v61311911,8.12.2.5.4.4,0.42
121,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Multiple-charge cases,Stayed or withdrawn,v60353060,8.12.2.5.4.6,15.0
122,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Related charges,Guilty,v60353064,8.12.2.5.5.3,23.0
123,2019,Manitoba,2016A000246,Uttering threats,12 to 15 years,Sex unknown,Related charges,Percentage guilty,v61311912,8.12.2.5.5.4,0.16
