,REF_DATE,Admissions,Correctional_services,Corrections,Geography,Population,Youth_corrections_per_1000_population
106,2002,Youth admissions,Open custody,485.0,British Columbia,4094236,0.11845921925360434
107,2002,Youth admissions,Supervised probation,2281.0,British Columbia,4094236,0.5571246992112814
108,2003,Youth admissions,Pre-trial detention,5640.0,Ontario,12195501,0.46246562564342375
109,2003,Youth admissions,Secure custody,1218.0,Ontario,12195501,0.09987289575065428
110,2003,Youth admissions,Custody and supervision (secure),1205.0,Ontario,12195501,0.09880692888303647
111,2003,Youth admissions,Young Offenders Act (YOA) (secure),8.0,Ontario,12195501,0.0006559796108417358
112,2003,Youth admissions,Open custody,1234.0,Ontario,12195501,0.10118485497233774
113,2003,Youth admissions,Custody and supervision (open),1200.0,Ontario,12195501,0.09839694162626038
114,2003,Youth admissions,Young Offenders Act (YOA) (open),33.0,Ontario,12195501,0.0027059158947221607
115,2003,Youth admissions,Community Portion of Custody Supervision,1865.0,Ontario,12195501,0.15292524677747965
116,2003,Youth admissions,Intensive support and supervision,0.0,Ontario,12195501,0.0
117,2003,Youth admissions,Deferred custody and supervision,449.0,Ontario,12195501,0.03681685565849242
118,2003,Youth admissions,Supervised probation,11091.0,Ontario,12195501,0.9094337329807115
119,2003,Youth admissions,Other community sentences,3592.0,Ontario,12195501,0.2945348452679394
120,2003,Youth admissions,Pre-trial detention,1539.0,Manitoba,1160863,1.3257378346971176
121,2003,Youth admissions,Provincial director remand,97.0,Manitoba,1160863,0.0835585249939054
122,2003,Youth admissions,Secure custody,114.0,Manitoba,1160863,0.09820280257015686
123,2003,Youth admissions,Custody and supervision (secure),106.0,Manitoba,1160863,0.09131137782839147
124,2003,Youth admissions,Young Offenders Act (YOA) (secure),7.0,Manitoba,1160863,0.006029996649044719
125,2003,Youth admissions,Open custody,261.0,Manitoba,1160863,0.22483273220009597
126,2003,Youth admissions,Custody and supervision (open),212.0,Manitoba,1160863,0.18262275565678293
127,2003,Youth admissions,Young Offenders Act (YOA) (open),49.0,Manitoba,1160863,0.04220997654331303
128,2003,Youth admissions,Community Portion of Custody Supervision,193.0,Manitoba,1160863,0.1662556218950901
129,2003,Youth admissions,Deferred custody and supervision,112.0,Manitoba,1160863,0.0964799463847155
130,2003,Youth admissions,Supervised probation,788.0,Manitoba,1160863,0.6788053370638912
131,2003,Youth admissions,Other community sentences,725.0,Manitoba,1160863,0.6245353672224888
132,2003,Youth admissions,Secure custody,239.0,Saskatchewan,995748,0.24002056745280934
133,2003,Youth admissions,Custody and supervision (secure),239.0,Saskatchewan,995748,0.24002056745280934
134,2003,Youth admissions,Open custody,256.0,Saskatchewan,995748,0.2570931601168167
135,2003,Youth admissions,Custody and supervision (open),256.0,Saskatchewan,995748,0.2570931601168167
136,2003,Youth admissions,Supervised probation,1339.0,Saskatchewan,995748,1.344717739829756
137,2003,Youth admissions,Pre-trial detention,2037.0,Alberta,3169049,0.6427795846640427
138,2003,Youth admissions,Secure custody,497.0,Alberta,3169049,0.156829383199818
139,2003,Youth admissions,Custody and supervision (secure),497.0,Alberta,3169049,0.156829383199818
140,2003,Youth admissions,Open custody,239.0,Alberta,3169049,0.0754169468506167
141,2003,Youth admissions,Custody and supervision (open),239.0,Alberta,3169049,0.0754169468506167
142,2003,Youth admissions,Community Portion of Custody Supervision,366.0,Alberta,3169049,0.1154920608674716
143,2003,Youth admissions,Intensive support and supervision,52.0,Alberta,3169049,0.016408708101389405
144,2003,Youth admissions,Deferred custody and supervision,263.0,Alberta,3169049,0.08299019674356566
145,2003,Youth admissions,Supervised probation,2144.0,Alberta,3169049,0.6765436571034402
146,2003,Youth admissions,Other community sentences,1426.0,Alberta,3169049,0.44997726447271724
147,2003,Youth admissions,Pre-trial detention,1301.0,British Columbia,4114925,0.31616615126642644
148,2003,Youth admissions,Secure custody,242.0,British Columbia,4114925,0.05881030638468502
149,2003,Youth admissions,Custody and supervision (secure),242.0,British Columbia,4114925,0.05881030638468502
150,2003,Youth admissions,Young Offenders Act (YOA) (secure),0.0,British Columbia,4114925,0.0
151,2003,Youth admissions,Open custody,315.0,British Columbia,4114925,0.07655060541808173
152,2003,Youth admissions,Custody and supervision (open),315.0,British Columbia,4114925,0.07655060541808173
153,2003,Youth admissions,Supervised probation,1664.0,British Columbia,4114925,0.404381610843454
154,2004,Youth admissions,Pre-trial detention,8351.0,Ontario,12341656,0.6766514963632109
155,2004,Youth admissions,Secure custody,1097.0,Ontario,12341656,0.08888596473601275
156,2004,Youth admissions,Custody and supervision (secure),1093.0,Ontario,12341656,0.08856185912166083
157,2004,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Ontario,12341656,0.0
158,2004,Youth admissions,Open custody,1121.0,Ontario,12341656,0.09083059842212422
159,2004,Youth admissions,Custody and supervision (open),1121.0,Ontario,12341656,0.09083059842212422
160,2004,Youth admissions,Young Offenders Act (YOA) (open),0.0,Ontario,12341656,0.0
161,2004,Youth admissions,Community Portion of Custody Supervision,2038.0,Ontario,12341656,0.16513181051230078
162,2004,Youth admissions,Intensive support and supervision,0.0,Ontario,12341656,0.0
163,2004,Youth admissions,Deferred custody and supervision,502.0,Ontario,12341656,0.040675254601165355
164,2004,Youth admissions,Supervised probation,7593.0,Ontario,12341656,0.6152334824435229
165,2004,Youth admissions,Other community sentences,2784.0,Ontario,12341656,0.22557750758893297
166,2004,Youth admissions,Pre-trial detention,1552.0,Manitoba,1170347,1.3261024294504107
167,2004,Youth admissions,Provincial director remand,180.0,Manitoba,1170347,0.15380053949811467
168,2004,Youth admissions,Secure custody,136.0,Manitoba,1170347,0.11620485206524218
169,2004,Youth admissions,Custody and supervision (secure),133.0,Manitoba,1170347,0.11364150974027361
170,2004,Youth admissions,Young Offenders Act (YOA) (secure),0.0,Manitoba,1170347,0.0
171,2004,Youth admissions,Open custody,243.0,Manitoba,1170347,0.2076307283224548
172,2004,Youth admissions,Custody and supervision (open),243.0,Manitoba,1170347,0.2076307283224548
173,2004,Youth admissions,Young Offenders Act (YOA) (open),0.0,Manitoba,1170347,0.0
174,2004,Youth admissions,Community Portion of Custody Supervision,288.0,Manitoba,1170347,0.2460808631969835
175,2004,Youth admissions,Deferred custody and supervision,121.0,Manitoba,1170347,0.1033881404403993
176,2004,Youth admissions,Supervised probation,931.0,Manitoba,1170347,0.7954905681819153
177,2004,Youth admissions,Other community sentences,775.0,Manitoba,1170347,0.6621967672835493
178,2004,Youth admissions,Secure custody,160.0,Saskatchewan,997080,0.16046856821920005
179,2004,Youth admissions,Custody and supervision (secure),160.0,Saskatchewan,997080,0.16046856821920005
180,2004,Youth admissions,Open custody,216.0,Saskatchewan,997080,0.21663256709592008
181,2004,Youth admissions,Custody and supervision (open),216.0,Saskatchewan,997080,0.21663256709592008
182,2004,Youth admissions,Community Portion of Custody Supervision,214.0,Saskatchewan,997080,0.2146267099931801
183,2004,Youth admissions,Deferred custody and supervision,167.0,Saskatchewan,997080,0.16748906807879008
184,2004,Youth admissions,Supervised probation,1265.0,Saskatchewan,997080,1.2687046174830505
185,2004,Youth admissions,Pre-trial detention,1655.0,Alberta,3223490,0.5134186859583867
186,2004,Youth admissions,Secure custody,486.0,Alberta,3223490,0.15076826669231175
187,2004,Youth admissions,Custody and supervision (secure),486.0,Alberta,3223490,0.15076826669231175
188,2004,Youth admissions,Open custody,249.0,Alberta,3223490,0.07724546997198689
189,2004,Youth admissions,Custody and supervision (open),249.0,Alberta,3223490,0.07724546997198689
190,2004,Youth admissions,Community Portion of Custody Supervision,469.0,Alberta,3223490,0.14549447958579056
191,2004,Youth admissions,Intensive support and supervision,11.0,Alberta,3223490,0.0034124504806901834
192,2004,Youth admissions,Deferred custody and supervision,249.0,Alberta,3223490,0.07724546997198689
193,2004,Youth admissions,Supervised probation,1778.0,Alberta,3223490,0.5515760867879224
194,2004,Youth admissions,Other community sentences,1112.0,Alberta,3223490,0.3449677213206804
195,2004,Youth admissions,Pre-trial detention,1404.0,British Columbia,4145951,0.3386436549780738
196,2004,Youth admissions,Secure custody,225.0,British Columbia,4145951,0.05426981650289644
197,2004,Youth admissions,Custody and supervision (secure),225.0,British Columbia,4145951,0.05426981650289644
198,2004,Youth admissions,Young Offenders Act (YOA) (secure),0.0,British Columbia,4145951,0.0
199,2004,Youth admissions,Open custody,343.0,British Columbia,4145951,0.08273132026885992
200,2004,Youth admissions,Custody and supervision (open),343.0,British Columbia,4145951,0.08273132026885992
