,REF_DATE,GEO,DGUID,Offences,Age_of_accused,Sex_of_accused,Charge_and_case,Type_of_decision,VECTOR,COORDINATE,VALUE
70,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Females,Single-charge cases,Percentage guilty,v61311485,8.8.3.3.3.4,1.0
71,1991,Manitoba,2016A000246,Sexual assault,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60349134,8.8.3.3.5.6,3.0
72,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Single-charge cases,Guilty,v60349226,8.8.4.2.3.3,1.0
73,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Single-charge cases,Percentage guilty,v61311500,8.8.4.2.3.4,0.33
74,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Single-charge cases,Stayed or withdrawn,v60349230,8.8.4.2.3.6,2.0
75,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Related charges,Guilty,v60349250,8.8.4.2.5.3,1.0
76,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Related charges,Percentage guilty,v61311502,8.8.4.2.5.4,0.1
77,1991,Manitoba,2016A000246,Sexual assault,Other ages,Males,Related charges,Stayed or withdrawn,v60349254,8.8.4.2.5.6,9.0
78,1991,Manitoba,2016A000246,Sexual assault,Other ages,Females,Multiple-charge cases,Acquitted,v60349300,8.8.4.3.4.5,1.0
79,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Guilty,v60349886,8.9.2.2.3.3,3.0
80,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311570,8.9.2.2.3.4,0.33
81,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60349890,8.9.2.2.3.6,6.0
82,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Guilty,v60349898,8.9.2.2.4.3,7.0
83,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311571,8.9.2.2.4.4,0.54
84,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60349902,8.9.2.2.4.6,6.0
85,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Related charges,Guilty,v60349910,8.9.2.2.5.3,6.0
86,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Related charges,Percentage guilty,v61311572,8.9.2.2.5.4,0.12
87,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60349914,8.9.2.2.5.6,44.0
88,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60349950,8.9.2.3.3.6,2.0
89,1991,Manitoba,2016A000246,Other sexual offences,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60349974,8.9.2.3.5.6,1.0
90,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60350070,8.9.3.2.3.6,2.0
91,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Multiple-charge cases,Guilty,v60350078,8.9.3.2.4.3,8.0
92,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311591,8.9.3.2.4.4,0.62
93,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Multiple-charge cases,Stayed or withdrawn,v60350082,8.9.3.2.4.6,5.0
94,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Related charges,Guilty,v60350090,8.9.3.2.5.3,8.0
95,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Related charges,Percentage guilty,v61311592,8.9.3.2.5.4,0.15
96,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Related charges,Acquitted,v60350092,8.9.3.2.5.5,2.0
97,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Males,Related charges,Stayed or withdrawn,v60350094,8.9.3.2.5.6,45.0
98,1991,Manitoba,2016A000246,Other sexual offences,16 and 17 years,Females,Related charges,Stayed or withdrawn,v60350154,8.9.3.3.5.6,1.0
99,1991,Manitoba,2016A000246,Other sexual offences,Other ages,Males,Multiple-charge cases,Guilty,v60350258,8.9.4.2.4.3,1.0
100,1991,Manitoba,2016A000246,Other sexual offences,Other ages,Males,Multiple-charge cases,Percentage guilty,v61311611,8.9.4.2.4.4,1.0
101,1991,Manitoba,2016A000246,Other sexual offences,Other ages,Males,Related charges,Stayed or withdrawn,v60350274,8.9.4.2.5.6,2.0
102,1991,Manitoba,2016A000246,Other sexual offences,Other ages,Females,Related charges,Acquitted,v60350332,8.9.4.3.5.5,1.0
103,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Single-charge cases,Guilty,v60350906,8.10.2.2.3.3,14.0
104,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Single-charge cases,Percentage guilty,v61311680,8.10.2.2.3.4,0.48
105,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Single-charge cases,Acquitted,v60350908,8.10.2.2.3.5,2.0
106,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Single-charge cases,Stayed or withdrawn,v60350910,8.10.2.2.3.6,13.0
107,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Multiple-charge cases,Guilty,v60350918,8.10.2.2.4.3,21.0
108,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Multiple-charge cases,Percentage guilty,v61311681,8.10.2.2.4.4,0.58
109,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Multiple-charge cases,Acquitted,v60350920,8.10.2.2.4.5,1.0
110,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Multiple-charge cases,Stayed or withdrawn,v60350922,8.10.2.2.4.6,14.0
111,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Related charges,Guilty,v60350930,8.10.2.2.5.3,6.0
112,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Related charges,Percentage guilty,v61311682,8.10.2.2.5.4,0.07
113,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Related charges,Acquitted,v60350932,8.10.2.2.5.5,13.0
114,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Males,Related charges,Stayed or withdrawn,v60350934,8.10.2.2.5.6,64.0
115,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Single-charge cases,Guilty,v60350966,8.10.2.3.3.3,10.0
116,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Single-charge cases,Percentage guilty,v61311685,8.10.2.3.3.4,0.48
117,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Single-charge cases,Stayed or withdrawn,v60350970,8.10.2.3.3.6,10.0
118,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Single-charge cases,Other decisions,v60350972,8.10.2.3.3.7,1.0
119,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Multiple-charge cases,Guilty,v60350978,8.10.2.3.4.3,13.0
120,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Multiple-charge cases,Percentage guilty,v61311686,8.10.2.3.4.4,0.93
121,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Multiple-charge cases,Stayed or withdrawn,v60350982,8.10.2.3.4.6,1.0
122,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Related charges,Guilty,v60350990,8.10.2.3.5.3,8.0
123,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Related charges,Percentage guilty,v61311687,8.10.2.3.5.4,0.31
124,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Related charges,Acquitted,v60350992,8.10.2.3.5.5,7.0
125,1991,Manitoba,2016A000246,Major assault,12 to 15 years,Females,Related charges,Stayed or withdrawn,v60350994,8.10.2.3.5.6,11.0
126,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Single-charge cases,Guilty,v60351086,8.10.3.2.3.3,19.0
127,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Single-charge cases,Percentage guilty,v61311700,8.10.3.2.3.4,0.59
128,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Single-charge cases,Acquitted,v60351088,8.10.3.2.3.5,1.0
129,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Single-charge cases,Stayed or withdrawn,v60351090,8.10.3.2.3.6,12.0
130,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Multiple-charge cases,Transferred to adult court,v60351096,8.10.3.2.4.2,2.0
131,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Multiple-charge cases,Guilty,v60351098,8.10.3.2.4.3,34.0
132,1991,Manitoba,2016A000246,Major assault,16 and 17 years,Males,Multiple-charge cases,Percentage guilty,v61311701,8.10.3.2.4.4,0.69
